colPK,pos_x,pos_y,win,currentGold,goldEarned,neutralMinionsKilled
12966,4887,4479,1,2,1402,0
12967,5822,5606,1,23,6523,0
12968,3847,3461,1,446,6946,0
12969,5452,5066,1,299,7349,0
12970,8386,8272,1,1016,8066,0
12971,4691,4816,1,272,8672,0
12972,6684,6206,1,877,9277,0
12973,5211,4967,1,517,9967,0
12974,854,1248,1,1400,1400,0
12975,7257,7425,1,4279,12729,0
12976,0,0,1,4697,13147,0
12977,5684,6321,1,427,1827,0
12978,5885,5901,1,1073,2473,0
12979,6662,6194,1,1767,3167,0
12980,6754,7510,1,2340,3740,0
12981,6813,6701,1,3012,4412,0
12982,4306,4442,1,1331,4931,0
12983,6840,7186,1,748,5733,0
12984,6780,6949,1,1906,6891,0
12985,2869,3524,1,2,1402,0
12986,5419,5384,1,2557,7542,0
12987,3600,4130,1,240,7940,0
12988,3648,4293,1,65,8515,0
12989,7894,8515,1,896,9346,0
12990,4688,4270,1,1856,10306,0
12991,9677,10398,1,2920,11370,0
12992,4317,5209,1,3777,12227,0
12993,12006,11716,0,1400,1400,0
12994,8687,7829,0,476,11076,0
12995,0,0,0,632,11232,0
12996,7575,6783,0,409,1809,0
12997,7350,6343,0,250,2250,0
12998,6724,6264,0,290,3190,0
12999,8217,7560,0,549,3749,0
13000,7786,7314,0,429,4129,0
13001,6391,5473,0,1409,5109,0
13002,10443,9536,0,529,5704,0
13003,11860,11596,0,349,6324,0
13004,6496,5732,0,2,1402,0
13005,5575,4822,0,1055,7455,0
13006,5441,4752,0,1655,8055,0
13007,4989,4306,0,1524,8724,0
13008,10001,8733,0,399,9099,0
13009,6110,5694,0,981,9681,0
13010,6957,6089,0,108,10208,0
13011,10163,9306,0,77,10677,0
13012,12006,11496,0,1400,1400,0
13013,6138,6587,0,1153,10086,0
13014,0,0,0,1309,10242,0
13015,6396,7008,0,519,1919,0
13016,6415,6526,0,457,2507,0
13017,6813,6372,0,1232,3282,0
13018,8006,7388,0,548,3898,0
13019,8163,8368,0,1193,4543,0
13020,5236,4852,0,330,4930,0
13021,10145,10592,0,390,5290,0
13022,8551,8291,0,335,5735,0
13023,5761,5655,0,32,1432,0
13024,10277,9815,0,650,6350,0
13025,4626,4613,0,1337,7037,0
13026,5352,5607,0,245,7478,0
13027,7835,7135,0,699,7932,0
13028,6351,6131,0,787,8620,0
13029,11418,11357,0,179,9112,0
13030,7270,7278,0,641,9574,0
13031,11797,11428,0,1400,1400,0
13032,7167,7884,0,1343,11628,0
13033,0,0,0,1499,11784,0
13034,6322,6698,0,512,1812,0
13035,6652,6778,0,1035,2335,0
13036,6847,7257,0,1988,3288,0
